instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_indonesia,weather_indonesia,month_indonesia
1,2011-01-01,Spring,2011,1,0,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.81,0.0,3,13,16,Musim Semi,Cerah,Januari
2,2011-01-01,Spring,2011,1,1,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.8,0.0,8,32,40,Musim Semi,Cerah,Januari
3,2011-01-01,Spring,2011,1,2,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.8,0.0,5,27,32,Musim Semi,Cerah,Januari
4,2011-01-01,Spring,2011,1,3,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.75,0.0,3,10,13,Musim Semi,Cerah,Januari
5,2011-01-01,Spring,2011,1,4,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.75,0.0,0,1,1,Musim Semi,Cerah,Januari
6,2011-01-01,Spring,2011,1,5,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.24,0.2576,0.75,0.0896,0,1,1,Musim Semi,Berawan/Berkabut,Januari
7,2011-01-01,Spring,2011,1,6,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.8,0.0,2,0,2,Musim Semi,Cerah,Januari
8,2011-01-01,Spring,2011,1,7,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.86,0.0,1,2,3,Musim Semi,Cerah,Januari
9,2011-01-01,Spring,2011,1,8,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.75,0.0,1,7,8,Musim Semi,Cerah,Januari
10,2011-01-01,Spring,2011,1,9,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.32,0.3485,0.76,0.0,8,6,14,Musim Semi,Cerah,Januari
11,2011-01-01,Spring,2011,1,10,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.38,0.3939,0.76,0.2537,12,24,36,Musim Semi,Cerah,Januari
12,2011-01-01,Spring,2011,1,11,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.36,0.3333,0.81,0.2836,26,30,56,Musim Semi,Cerah,Januari
13,2011-01-01,Spring,2011,1,12,0,6,Hari Libur,"Clear, Few clouds, Partly cloudy",0.42,0.4242,0.77,0.2836,29,55,84,Musim Semi,Cerah,Januari
14,2011-01-01,Spring,2011,1,13,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.46,0.4545,0.72,0.2985,47,47,94,Musim Semi,Berawan/Berkabut,Januari
15,2011-01-01,Spring,2011,1,14,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.46,0.4545,0.72,0.2836,35,71,106,Musim Semi,Berawan/Berkabut,Januari
16,2011-01-01,Spring,2011,1,15,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.44,0.4394,0.77,0.2985,40,70,110,Musim Semi,Berawan/Berkabut,Januari
17,2011-01-01,Spring,2011,1,16,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.42,0.4242,0.82,0.2985,41,52,93,Musim Semi,Berawan/Berkabut,Januari
18,2011-01-01,Spring,2011,1,17,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.44,0.4394,0.82,0.2836,15,52,67,Musim Semi,Berawan/Berkabut,Januari
19,2011-01-01,Spring,2011,1,18,0,6,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.42,0.4242,0.88,0.2537,9,26,35,Musim Semi,Hujan Ringan/Salju,Januari
20,2011-01-01,Spring,2011,1,19,0,6,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.42,0.4242,0.88,0.2537,6,31,37,Musim Semi,Hujan Ringan/Salju,Januari
21,2011-01-01,Spring,2011,1,20,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.4,0.4091,0.87,0.2537,11,25,36,Musim Semi,Berawan/Berkabut,Januari
22,2011-01-01,Spring,2011,1,21,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.4,0.4091,0.87,0.194,3,31,34,Musim Semi,Berawan/Berkabut,Januari
23,2011-01-01,Spring,2011,1,22,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.4,0.4091,0.94,0.2239,11,17,28,Musim Semi,Berawan/Berkabut,Januari
24,2011-01-01,Spring,2011,1,23,0,6,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.46,0.4545,0.88,0.2985,15,24,39,Musim Semi,Berawan/Berkabut,Januari
25,2011-01-02,Spring,2011,1,0,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.46,0.4545,0.88,0.2985,4,13,17,Musim Semi,Berawan/Berkabut,Januari
26,2011-01-02,Spring,2011,1,1,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.44,0.4394,0.94,0.2537,1,16,17,Musim Semi,Berawan/Berkabut,Januari
27,2011-01-02,Spring,2011,1,2,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.42,0.4242,1.0,0.2836,1,8,9,Musim Semi,Berawan/Berkabut,Januari
28,2011-01-02,Spring,2011,1,3,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.46,0.4545,0.94,0.194,2,4,6,Musim Semi,Berawan/Berkabut,Januari
29,2011-01-02,Spring,2011,1,4,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.46,0.4545,0.94,0.194,2,1,3,Musim Semi,Berawan/Berkabut,Januari
30,2011-01-02,Spring,2011,1,6,0,0,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.42,0.4242,0.77,0.2985,0,2,2,Musim Semi,Hujan Ringan/Salju,Januari
31,2011-01-02,Spring,2011,1,7,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.4,0.4091,0.76,0.194,0,1,1,Musim Semi,Berawan/Berkabut,Januari
32,2011-01-02,Spring,2011,1,8,0,0,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.4,0.4091,0.71,0.2239,0,8,8,Musim Semi,Hujan Ringan/Salju,Januari
33,2011-01-02,Spring,2011,1,9,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.38,0.3939,0.76,0.2239,1,19,20,Musim Semi,Berawan/Berkabut,Januari
34,2011-01-02,Spring,2011,1,10,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.36,0.3485,0.81,0.2239,7,46,53,Musim Semi,Berawan/Berkabut,Januari
